REVIEW_TYPE,ASSET_ID,REASON,OUTPUT,STATUS_NOTE
OCR_REVIEW,HFM-A000512,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000512_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000513,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000513_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000529,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B02/raw-ocr/HFM-A000529_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000530,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000530_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000531,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000531_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000532,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000532_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000533,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B02/raw-ocr/HFM-A000533_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000534,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000534_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000535,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000535_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000536,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000536_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000537,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B02/raw-ocr/HFM-A000537_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000538,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000538_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000539,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000539_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000540,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000540_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000541,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000541_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000542,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B01/raw-ocr/HFM-A000542_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000543,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B01/raw-ocr/HFM-A000543_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000544,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B01/raw-ocr/HFM-A000544_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000545,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B01/raw-ocr/HFM-A000545_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000546,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B01/raw-ocr/HFM-A000546_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000547,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B02/raw-ocr/HFM-A000547_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000548,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000548_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000549,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000549_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000550,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000550_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000551,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B02/raw-ocr/HFM-A000551_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000552,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000552_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000553,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000553_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000554,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000554_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000555,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000555_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000556,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000556_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000557,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B02/raw-ocr/HFM-A000557_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000558,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000558_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000559,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000559_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000560,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B02/raw-ocr/HFM-A000560_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000561,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000561_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000562,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000562_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000563,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000563_p* x3,FULL_OCR_PENDING
